date,amount,category,description
01-10-2024,198,Expense,Consulting Fees
02-10-2024,277,Income,Travel Expenses
03-10-2024,492,Income,Salary
04-10-2024,329,Expense,Travel Expenses
05-10-2024,257,Income,Office Supplies
06-10-2024,447,Income,Salary
07-10-2024,423,Expense,Consulting Fees
08-10-2024,391,Expense,Consulting Fees
09-10-2024,98,Income,Utilities
10-10-2024,355,Expense,Consulting Fees
11-10-2024,119,Income,Utilities
12-10-2024,219,Income,Consulting Fees
13-10-2024,213,Expense,Office Supplies
14-10-2024,498,Income,Consulting Fees
16-10-2024,145,Income,Marketing
17-10-2024,247,Income,Utilities
19-10-2024,144,Expense,Marketing
21-10-2024,306,Expense,Utilities
22-10-2024,419,Income,Utilities
24-10-2024,228,Expense,Consulting Fees
25-10-2024,342,Income,Marketing
26-10-2024,468,Income,Utilities
27-10-2024,354,Income,Product Sales
29-10-2024,399,Income,Office Supplies
30-10-2024,437,Income,Consulting Fees
31-10-2024,148,Expense,Utilities
